ads_idx,ads_code,adv_idx,sch_idx,ads_type,ads_category,ads_name,ads_limit,ads_payment,ads_save_way,ads_day_cap,ads_sdate,ads_edate,ads_os_type,ads_contract_price,ads_reward_price,ads_order,ads_rejoin_type,regdate
32425,bS6C1HR7Tx,930,369776,12,11,[가이타이너] 퓨어클린 침구 진공청소기,,109000,구매,N,2024-04-12 14:00:00,9999-12-31 00:00:00,7,26363,17100,1362820,REJOINABLE,2024-04-12 14:04:59
34045,IhvxEGKBOh,50,373392,10,3,이마트 유튜브,2059 남녀,,구독 및 좋아요,N,2024-04-19 15:00:00,2029-11-01 00:00:00,7,230,160,2729400,NONE,2024-04-19 15:31:37
48584,4S4k0A6EXE,220,1186566,3,8,아이스크림 홈런 무료체험,30세 ~ 58세 여성,,무료체험 신청,N,2024-05-21 14:00:00,2029-11-29 00:00:00,7,1500,1120,2405300,NONE,2024-05-21 14:09:21
49983,0jj48Q6xDk,910,400969,2,1,사람인,,,최초 오픈,N,2024-06-01 13:00:00,2030-01-01 00:00:00,7,200,140,2748000,NONE,2024-05-31 13:50:52
49985,8LWZT4xKs1,1232,1087774,9,0,토마토마토 - 같은 그림 찾기!,,,모든 서브퀘스트 완료,N,2024-06-03 10:00:00,2025-12-31 00:00:00,2,0,371,2281700,NONE,2024-05-31 14:32:23
53592,Xq6yB5Yybe,836,406854,12,11,짐스낵 다이어트 간식 프로틴 단백질 쿠키 과자,,18000,구매,N,2024-06-21 10:00:00,9999-12-31 00:00:00,7,6818,4400,1554608,REJOINABLE,2024-06-21 10:44:52
53610,ErM32MbgHr,930,406876,12,11,스퀘어가든 라포레 IH 프라이팬 세트 3종,,159000,구매,N,2024-06-21 11:00:00,9999-12-31 00:00:00,7,73181,47500,1247235,REJOINABLE,2024-06-21 11:55:53
53624,vnZuOptcKr,930,406890,12,11,김소형 보감탕 30포 [쇼핑백포함],,44000,구매,N,2024-06-21 11:00:00,9999-12-31 00:00:00,7,13636,8800,1304665,REJOINABLE,2024-06-21 11:58:39
53629,9ipzMy1ZEl,930,406895,12,11,[뉴바이오]덴타골드치약 200gx2개 세트,,19800,구매,N,2024-06-21 11:00:00,9999-12-31 00:00:00,7,5727,3700,1138609,REJOINABLE,2024-06-21 11:59:47
55718,NcjKtTo6ao,50,409413,2,1,여신티켓,,,최초 오픈,N,2024-06-24 13:00:00,2029-11-29 00:00:00,1,230,180,2749800,NONE,2024-06-24 13:07:55
56225,xFwInhitco,50,410305,7,3,LG전자 인스타그램,19~44세 유저만 참여 가능,,팔로우,N,2024-06-25 11:00:00,2029-11-29 00:00:00,7,230,180,2729000,NONE,2024-06-25 11:45:34
57013,q1k0ss6vXK,930,411234,12,11,[아이리버] 종아리 EMS 마사지기 CE010,,36000,구매,N,2024-06-26 10:00:00,9999-12-31 00:00:00,7,9000,5800,1363321,REJOINABLE,2024-06-26 10:48:26
57056,MwAWlRiWaX,50,411283,2,1,리본카,30세 이상 신규 유저,,최초 오픈,N,2024-06-26 11:00:00,2029-11-29 00:00:00,1,230,180,2750900,NONE,2024-06-26 11:51:48
70424,BXKhMn7Itx,874,1087777,9,6,돌격 소녀 키우기,,,모든 서브퀘스트 완료,N,2024-07-15 16:00:00,2025-12-31 00:00:00,2,0,107,2297600,NONE,2024-07-15 14:45:25
72057,HAJ6b22dOM,930,438761,12,11,[삼성제약] 삼성쌩쌩관절보단 4g X 60환,,129000,구매,N,2024-07-17 11:00:00,9999-12-31 00:00:00,7,53636,34800,1154840,REJOINABLE,2024-07-17 11:51:08
72969,E0kr3Inw4j,753,440550,3,7,KB다이렉트 자녀보험,,,KB다이렉트 자녀보험 가입,N,2024-07-18 17:00:00,2030-01-01 00:00:00,7,30000,18000,2701800,NONE,2024-07-18 16:20:09
73878,B2IExr4Etq,791,615233,3,8,굿툰 7일 무료체험,,,무료체험 신청,N,2024-07-19 13:00:00,2025-10-01 00:00:00,7,4000,3200,2708200,NONE,2024-07-19 13:37:25
80973,2YvTodHSxt,50,456392,3,7,올바른 내보험 지킴이 서비스,1956~1995년생 유저만 참여 가능,,상담,N,2024-08-01 16:00:00,2029-11-29 00:00:00,7,1000,750,1662768,NONE,2024-08-01 16:43:29
86708,rICmMfimBS,583,1213071,3,8,케이뱅크 최초 회원 가입,,,최초 회원가입,N,2024-08-08 00:00:00,2029-11-29 00:00:00,7,1650,1230,2701200,NONE,2024-08-08 13:31:36
93023,Spv4OIF0aP,1495,1087780,9,6,샥샥샥 군단,,,모든 서브퀘스트 완료,N,2024-08-29 10:00:00,2025-12-31 00:00:00,2,0,614,2340900,NONE,2024-08-28 15:53:15
93240,T5WsVm8lMw,1403,1087789,9,6,삼켜라 드래곤,,,모든 서브퀘스트 완료,N,2024-08-29 16:00:00,2025-12-31 00:00:00,2,0,614,2347100,NONE,2024-08-29 16:15:31
93247,ctjR6qqE1h,1278,1087790,9,6,로드모바일: 킹덤 워즈,,,모든 서브퀘스트 완료,N,2024-08-29 00:00:00,2025-12-31 00:00:00,2,0,429,2347700,NONE,2024-08-29 17:21:14
93248,jon8C9vxuQ,335,1161299,3,7,미래에셋증권 신규고객 이벤트,,,미래에셋증권 계좌개설 완료,N,2024-09-01 00:00:00,9999-12-31 23:59:59,7,10000,7500,2481900,NONE,2024-08-29 17:31:08
93419,5vIkExypk0,930,481006,12,11,가이타이너 자우버 플러스 핸디스팀다리미,,77000,구매,N,2024-08-30 13:00:00,9999-12-31 00:00:00,7,24545,15900,1248148,REJOINABLE,2024-08-30 13:19:43
95751,0WAiBfvo91,50,487625,2,1,[오픈하기] 여신티켓,,,최초 오픈,N,2024-09-10 10:44:45,9999-12-31 23:59:59,2,230,180,2750400,NONE,2024-09-10 10:44:45
95791,BAxJeVoKyF,70,487688,3,8,골드스푼,,,계정 생성 후 심사요청 진행,N,2024-09-10 00:00:00,2031-01-04 00:00:00,1,2640,1980,2485800,NONE,2024-09-10 13:29:06
95878,w4rmBx07Gz,724,1087792,9,6,용호상박,,,모든 서브퀘스트 완료,N,2024-09-10 00:00:00,2025-12-31 00:00:00,2,0,357,2356200,NONE,2024-09-10 17:36:07
96531,dWnELo2zfT,220,489105,3,10,휴대폰안심서비스,,"부가세포함 월 3,300원",서비스 가입,N,2024-09-12 14:00:00,2029-11-28 00:00:00,7,2100,1570,1681651,NONE,2024-09-12 14:36:04
96532,n0qNkJkD2B,1403,1087793,9,6,마왕만만세,,,모든 서브퀘스트 완료,N,2024-09-12 14:00:00,2025-12-31 00:00:00,2,0,471,2356800,NONE,2024-09-12 14:49:24
96590,iduQrfSUVW,1520,1087795,9,6,일당백 히어로입니당,,,모든 서브퀘스트 완료,N,2024-09-16 10:00:00,2025-12-31 00:00:00,2,0,381,2357900,NONE,2024-09-12 17:47:44
96790,R3Ll3NdqKN,1309,1087803,9,6,전설 여우 키우기,,,모든 서브퀘스트 완료,N,2025-01-03 12:00:00,2025-12-31 00:00:00,2,0,321,2412000,NONE,2024-09-13 13:15:41
